id,kind,label,primary_scenario_id,supporting_scenario_ids,primary_harm_boundary,role,oracle_type,current_oracle,evidence_state,evidence_validity,fixture_safety,known_limitation,issue_refs,pr_refs,paths
MAP-LEVEL-01,gym_level,Level 1 basic opacity new-tab trap,NS-ADV-UI-001,NS-ADV-WIN-001,Trusted input opens an unauthorized browsing context through a transparent full-viewport target.,primitive,mixed,Playwright checks that the unexpected page does not survive and that a NavSentinel intervention appears.,MODELLED,CURRENT_REGRESSION,CLEAR,The fixture has no independent sink receipt and the product event remains part of the pass condition.,,,gym/level1-basic-opacity.html;tests/e2e/navsentinel.spec.ts
MAP-LEVEL-02,gym_level,Level 2 moving target,NS-ADV-UI-002,,The activation target materially changes between inspection and the trusted click.,primitive,mixed,Playwright observes the blocked unexpected browsing context and product UI.,MODELLED,CURRENT_REGRESSION,CLEAR,"No independent record proves the actual inspected target, final hit target, and consequence as separate facts.",,,gym/level2-moving-target.html;tests/e2e/navsentinel.spec.ts
MAP-LEVEL-03,gym_level,Level 3 instant injection,NS-ADV-UI-003,NS-ADV-RUNTIME-007,A newly injected target changes the consequence around the user's activation.,primitive,mixed,Playwright checks the unauthorized page is blocked and the intervention is rendered.,MODELLED,CURRENT_REGRESSION,CLEAR,The test is one authored timing point and does not establish adjacent timing robustness.,,,gym/level3-instant-injection.html;tests/e2e/navsentinel.spec.ts
MAP-LEVEL-04,gym_level,Level 4 visual mimicry,NS-ADV-UI-006,NS-ADV-IDN-004,A browser-like page surface induces an action whose effective destination differs from the displayed context.,primitive,mixed,Playwright checks the deceptive navigation outcome and product UI state.,MODELLED,CURRENT_REGRESSION,CLEAR,The fixture models one visual surface and is not evidence of general browser-in-the-browser recognition.,,,gym/level4-visual-mimicry.html;tests/e2e/navsentinel.spec.ts
MAP-LEVEL-05,gym_level,Level 5 popunder,NS-ADV-WIN-001,,One trusted action creates an extra unauthorized browsing context.,primitive,browser_outcome,Playwright counts browsing contexts and checks the unexpected popup is absent.,MODELLED,CURRENT_REGRESSION,CLEAR,"The authored primitive does not cover window geometry, named reuse, or long-delay variants.",,,gym/level5-window-open-popunder.html;tests/e2e/navsentinel.spec.ts
MAP-LEVEL-06,gym_level,Level 6 programmatic click,NS-ADV-SELF-003,NS-ADV-UI-003,A page-generated activation attempts to consume authority for a user-level consequence.,primitive,browser_outcome,Playwright checks that the programmatic action does not produce the protected navigation.,MODELLED,CURRENT_REGRESSION,CLEAR,Synthetic input is not inherently malicious; this primitive does not model accessibility or delegated-agent authority.,,#464,gym/level6-programmatic-click.html;tests/e2e/navsentinel.spec.ts
MAP-LEVEL-07,gym_level,Level 7 legitimate modal backdrop,NS-ADV-UI-001,NS-ADV-PERM-008,No unauthorized consequence occurs; the accessible modal must remain usable.,benign,browser_outcome,Playwright completes the intended modal interaction without a NavSentinel block.,MODELLED,CURRENT_REGRESSION,CLEAR,"One fixture does not cover the full accessibility, framework, and stacking-context control space.",,,gym/level7-legit-modal-backdrop.html;tests/e2e/navsentinel.spec.ts
MAP-LEVEL-08,gym_level,Level 8 legitimate OAuth popup,NS-ADV-AUTH-005,NS-ADV-WIN-002,A scoped authentication popup must complete without authorizing an unrelated second context.,benign,browser_outcome,Playwright uses trusted input and verifies one legitimate popup completes without an unexpected prompt.,MODELLED,CURRENT_REGRESSION,CLEAR,"The synthetic local flow does not validate provider protocol, redirect state, or open-web OAuth compatibility.",#223,,gym/level8-legit-oauth-popup.html;gym/level8-oauth-consent.html;tests/e2e/navsentinel.spec.ts
MAP-LEVEL-09,gym_level,Level 9 legitimate video overlay,NS-ADV-UI-004,NS-ADV-SUPPLY-006,A legitimate foreground media control remains usable and does not create an unauthorized consequence.,benign,browser_outcome,Playwright completes the intended video-overlay interaction without suppression or blocking.,MODELLED,CURRENT_REGRESSION,CLEAR,This control does not cover embedded real-player variance or every accessible dialog pattern.,#594,,gym/level9-legit-video-overlay.html;tests/e2e/navsentinel.spec.ts
MAP-LEVEL-10,gym_level,Level 10 redirects and forms,NS-ADV-NAV-001,NS-ADV-CRED-003,A delayed navigation commits or a changed form destination receives protected input outside scoped intent.,mixed,mixed,Playwright checks redirect recovery and form-prompt behavior through browser and product UI state.,MODELLED,CURRENT_REGRESSION,CLEAR,Rollback is post-commit containment and the form path lacks a typed independent protected-data sink receipt.,#458,,gym/level10-redirects-and-forms.html;tests/e2e/navsentinel.spec.ts
