id,family,family_name,title,priority,severity,status,evidence_status,capability_dependencies,existing_issue_refs
NS-ADV-NAV-001,NAV,Navigation and redirect deception,Delayed cross-site `location.assign` after intent expiry,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#458;#417
NS-ADV-NAV-002,NAV,Navigation and redirect deception,Same-registrable-domain tenant hop,P1,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#223;#417
NS-ADV-NAV-003,NAV,Navigation and redirect deception,Meta-refresh trust laundering,P1,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#417;#426
NS-ADV-NAV-004,NAV,Navigation and redirect deception,Open-redirect multi-hop chain,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#417;#418
NS-ADV-NAV-005,NAV,Navigation and redirect deception,Form destination swapped after pointer-down,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#356;#464
NS-ADV-NAV-006,NAV,Navigation and redirect deception,SPA history facade followed by external commit,P1,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#356;#223
NS-ADV-NAV-007,NAV,Navigation and redirect deception,Back-button bounce and history trap,P1,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#458;#443
NS-ADV-NAV-008,NAV,Navigation and redirect deception,Secret-bearing URL decoration across redirects,P1,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#176;#468;#474
NS-ADV-WIN-001,WIN,"Windows, tabs, popups, and opener relationships",Popunder created from a trusted click,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#460;#498
NS-ADV-WIN-002,WIN,"Windows, tabs, popups, and opener relationships",Popup burst after legitimate OAuth,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#232;#498
NS-ADV-WIN-003,WIN,"Windows, tabs, popups, and opener relationships",Named-window reuse laundering,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#443;#417
NS-ADV-WIN-004,WIN,"Windows, tabs, popups, and opener relationships",Child rewrites opener then closes,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#458;#496
NS-ADV-WIN-005,WIN,"Windows, tabs, popups, and opener relationships",Allow-once capability double spend,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#466;#175
NS-ADV-WIN-006,WIN,"Windows, tabs, popups, and opener relationships",Tiny or off-screen popup,P2,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#443
NS-ADV-WIN-007,WIN,"Windows, tabs, popups, and opener relationships",Inherited about:blank/blob child pivots cross-origin,P1,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#190;#443
NS-ADV-WIN-008,WIN,"Windows, tabs, popups, and opener relationships",Cross-tab prompt and state confusion,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-05;C-09,#466;#175;#186
NS-ADV-UI-001,UI,"UI redressing, overlays, fake browser chrome, and visual coercion",Transparent full-viewport click shield,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-10,#555;#591
NS-ADV-UI-002,UI,"UI redressing, overlays, fake browser chrome, and visual coercion",Moving target under cursor,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-10,#555;#460
NS-ADV-UI-003,UI,"UI redressing, overlays, fake browser chrome, and visual coercion",Overlay injected after pointer-down,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-10,#464;#555
NS-ADV-UI-004,UI,"UI redressing, overlays, fake browser chrome, and visual coercion",Sequential overlay reinsertion,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-10,#555;#591
NS-ADV-UI-005,UI,"UI redressing, overlays, fake browser chrome, and visual coercion",Focus and pointer retargeting,P1,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-10,#199;#200
NS-ADV-UI-006,UI,"UI redressing, overlays, fake browser chrome, and visual coercion",Browser-in-the-browser fake chrome,P1,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-10,#246;#443
NS-ADV-UI-007,UI,"UI redressing, overlays, fake browser chrome, and visual coercion",Fake extension or password-manager prompt,P0,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-10,#356;#464
NS-ADV-UI-008,UI,"UI redressing, overlays, fake browser chrome, and visual coercion","Canvas, shadow, and nested-frame deceptive surface",P1,S3,UNMODELLED,UNMODELLED,C-02;C-03;C-10,#245;#246;#449
NS-ADV-CRED-001,CRED,"Credential, secret, and form exfiltration",Cross-origin password form action,P0,S4,UNMODELLED,UNMODELLED,C-02;C-03;C-06;C-11,#417;#199
NS-ADV-CRED-002,CRED,"Credential, secret, and form exfiltration",Same-origin form with third-party scripted exfiltration,P0,S4,UNMODELLED,UNMODELLED,C-02;C-03;C-06;C-11,#127;#532
