domain,tier,source,category
google.com,2,seed,search
youtube.com,2,seed,video_platform
microsoft.com,2,seed,software
office.com,2,seed,productivity
login.microsoftonline.com,2,seed,identity
apple.com,2,seed,technology
icloud.com,2,seed,cloud
amazon.com,2,seed,commerce
wikipedia.org,2,seed,reference
github.com,2,seed,developer
stackoverflow.com,2,seed,developer
linkedin.com,2,seed,professional
adobe.com,2,seed,software
salesforce.com,2,seed,business
slack.com,2,seed,business
zoom.us,2,seed,business
atlassian.com,2,seed,developer
okta.com,2,seed,identity
auth0.com,2,seed,identity
stripe.com,2,seed,payments
paypal.com,2,seed,payments
shopify.com,2,seed,commerce
dropbox.com,2,seed,cloud
mozilla.org,2,seed,browser
